gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
1,group A,high school,standard,completed,67,67,63
0,group D,some high school,free/reduced,none,40,59,55
1,group E,some college,free/reduced,none,59,60,50
1,group B,high school,standard,none,77,78,68
1,group E,associate's degree,standard,completed,78,73,68
0,group D,high school,standard,none,63,77,76
0,group A,bachelor's degree,standard,none,62,59,63
1,group E,some college,standard,completed,93,88,84
1,group D,high school,standard,none,63,56,65
1,group C,some college,free/reduced,none,47,42,45
1,group E,some college,standard,completed,99,83,85
0,group D,high school,standard,completed,80,87,90
1,group D,associate's degree,standard,completed,77,87,85
1,group C,high school,standard,completed,74,74,73
1,group E,some high school,standard,completed,81,87,85
1,group E,associate's degree,free/reduced,none,69,61,57
1,group B,high school,standard,none,58,47,42
0,group C,associate's degree,standard,completed,54,62,65
0,group C,associate's degree,free/reduced,none,23,44,44
1,group C,some college,free/reduced,none,39,32,31
0,group C,associate's degree,standard,none,83,76,88
1,group C,associate's degree,standard,none,58,52,55
1,group B,some college,standard,completed,71,69,73
0,group B,some college,free/reduced,none,44,55,54
1,group E,some high school,free/reduced,none,46,38,32
1,group C,high school,free/reduced,none,51,45,42
0,group C,some high school,standard,none,53,60,56
1,group E,high school,standard,none,71,68,60
0,group B,high school,standard,completed,74,89,89
0,group A,some high school,free/reduced,none,33,54,51
1,group B,some college,standard,none,87,79,77
1,group A,bachelor's degree,free/reduced,none,78,74,73
1,group A,some high school,free/reduced,completed,40,41,39
0,group B,associate's degree,standard,completed,65,65,71
0,group B,bachelor's degree,standard,completed,79,88,89
0,group A,bachelor's degree,standard,none,68,74,74
0,group C,some college,standard,completed,57,77,75
1,group B,high school,free/reduced,none,67,65,54
0,group B,some college,free/reduced,completed,58,68,73
1,group E,associate's degree,standard,none,98,81,77
0,group B,master's degree,free/reduced,none,54,75,72
1,group D,high school,standard,none,77,67,64
1,group E,high school,standard,completed,87,79,82
0,group C,master's degree,standard,none,58,70,70
1,group E,high school,standard,none,100,88,87
1,group C,bachelor's degree,standard,none,60,46,51
1,group C,associate's degree,free/reduced,none,64,63,57
0,group E,some high school,standard,completed,65,76,78
0,group D,high school,standard,none,68,72,73
1,group C,associate's degree,free/reduced,completed,60,63,57
1,group D,high school,standard,none,65,68,64
0,group C,some high school,free/reduced,none,52,58,60
0,group C,associate's degree,standard,none,74,81,85
0,group C,high school,free/reduced,none,36,53,49
1,group D,high school,free/reduced,none,57,57,47
0,group C,some college,standard,completed,56,60,62
0,group C,bachelor's degree,standard,completed,67,80,84
1,group D,associate's degree,standard,completed,88,87,83
0,group D,some college,free/reduced,none,42,61,51
1,group E,some high school,standard,none,68,51,48
1,group D,some college,free/reduced,none,76,66,68
0,group E,some high school,standard,none,58,63,59
1,group E,some high school,standard,completed,69,67,62
1,group A,bachelor's degree,standard,completed,77,82,78
1,group D,master's degree,standard,completed,83,93,97
0,group C,some high school,free/reduced,completed,49,74,70
1,group C,high school,standard,none,71,60,56
0,group D,some high school,free/reduced,none,47,46,49
1,group B,high school,standard,none,79,64,60
0,group C,high school,standard,none,60,64,57
0,group C,associate's degree,standard,completed,56,68,73
1,group C,associate's degree,standard,none,57,52,47
